omimId,moi
OMIM:121820,AD
OMIM:121850,AD
OMIM:121900,AD
OMIM:122000,AD
OMIM:122100,AD
OMIM:122200,AD
OMIM:122400,AD
OMIM:122430,AD
OMIM:122455,AD
OMIM:122460,AD
OMIM:122470,AD
OMIM:122580,AD
OMIM:122600,AD;AR
OMIM:122700,AD
OMIM:122750,AD
OMIM:122780,XLD;AD
OMIM:122850,AD
OMIM:122860,AD
OMIM:122880,AD
OMIM:123000,AD
OMIM:123100,AD
OMIM:123150,AD
OMIM:123155,AD
OMIM:123320,AD
OMIM:123400,AD
OMIM:123500,AD
OMIM:123540,AD
OMIM:123550,AD
OMIM:123557,AD
OMIM:123570,AR
OMIM:123700,AD
OMIM:123790,AD
OMIM:123880,AD
OMIM:124000,AR
OMIM:124200,AD
OMIM:124300,AD
OMIM:124480,AD
OMIM:124500,AD
OMIM:124700,AD
OMIM:124900,AD
OMIM:124950,AD
OMIM:125000,AD
OMIM:125050,AD
OMIM:125250,AD
OMIM:125310,AD
OMIM:125320,AD
OMIM:125350,AD
OMIM:125370,AD
OMIM:125400,AR
OMIM:125420,AD
OMIM:125440,AD
OMIM:125460,XLR;AR
OMIM:125480,AD
OMIM:125490,AD
OMIM:125500,AD
OMIM:125520,AD
OMIM:125530,AD
OMIM:125540,AD
OMIM:125595,AD
OMIM:125600,AD
OMIM:125630,AD
OMIM:125640,AD
OMIM:125700,AD
OMIM:125800,AD;AR
OMIM:125850,AD
OMIM:125851,AD
OMIM:125852,AD
OMIM:125853,AD
OMIM:125900,AD
OMIM:126050,AD
OMIM:126070,AD
OMIM:126180,AD
OMIM:126250,AD
OMIM:126300,AD
OMIM:126320,AD
OMIM:126500,AD
OMIM:126550,AD
OMIM:126600,AD
OMIM:126700,AD
OMIM:126800,AD
OMIM:126840,AD
OMIM:126850,AD
OMIM:126900,AD
OMIM:126950,AD
OMIM:127000,AD
OMIM:127100,AD;AR
OMIM:127200,AD
OMIM:127300,AD
OMIM:127350,AD
OMIM:127400,AD
OMIM:127500,AD
OMIM:127550,AD
OMIM:127600,AD
OMIM:127700,AD
OMIM:127750,AD
OMIM:127820,AD
OMIM:128000,AD
OMIM:128100,AD
OMIM:128101,AD
OMIM:128200,AD
OMIM:128230,AD;AR
OMIM:128235,AD
OMIM:128290,AD
OMIM:128300,AD
OMIM:128500,AD
OMIM:128600,AD
OMIM:128700,AD
OMIM:128710,AD
OMIM:128800,AD
OMIM:128980,AD
OMIM:129000,AD
OMIM:129150,AD
OMIM:129200,AD
OMIM:129400,AD
OMIM:129490,AD
OMIM:129500,AD
OMIM:129550,AD
OMIM:129600,AD
OMIM:129750,AD
OMIM:129840,AD
OMIM:129850,AD
OMIM:129900,AD
OMIM:130000,AD
OMIM:130010,AD
OMIM:130020,AD
OMIM:130050,AD
OMIM:130060,AD
OMIM:130070,AR
OMIM:130080,AD
OMIM:130100,AD
OMIM:130200,AD
OMIM:130300,AD
OMIM:130600,AD
OMIM:130650,AD
OMIM:130710,AD
OMIM:130720,AD
OMIM:130900,AD
OMIM:131100,AD
OMIM:131200,AR
OMIM:131300,AD
OMIM:131400,AD
OMIM:131440,AD
OMIM:131705,AD;AR
OMIM:131750,AD
OMIM:131760,AD
OMIM:131800,AD
OMIM:131850,AD;AR
OMIM:131880,AD
OMIM:131900,AD
OMIM:131950,AD
OMIM:131960,AD
OMIM:132000,AD
OMIM:132090,AD
OMIM:132100,AD
OMIM:132300,AD
OMIM:132400,AD
OMIM:132450,AD
OMIM:132500,AD
OMIM:132700,AD
OMIM:132800,AD
OMIM:132900,AD
OMIM:132990,AD
OMIM:133000,AD
OMIM:133020,AD
OMIM:133100,AD
OMIM:133180,AD
OMIM:133190,AD
OMIM:133200,AD;AR
OMIM:133240,AD
OMIM:133500,AD
OMIM:133540,AR
OMIM:133600,AD
OMIM:133690,AD
OMIM:133700,AD
OMIM:133701,AD
OMIM:133705,AD
OMIM:133780,AD
OMIM:133900,AD
OMIM:134200,AD
OMIM:134300,AD
OMIM:134400,AD
OMIM:134430,AD
OMIM:134500,AD
OMIM:134510,AD
OMIM:134540,AD
OMIM:134600,AD
OMIM:134610,AD
OMIM:134750,AD
OMIM:134900,AD
OMIM:135100,AD
OMIM:135150,AD
OMIM:135290,AD
OMIM:135300,AD
OMIM:135400,AR
OMIM:135500,AD
OMIM:135550,AD
OMIM:135580,AD
OMIM:135700,AD
OMIM:135750,AD
OMIM:135900,AD
OMIM:135950,AD
OMIM:136000,AD
OMIM:136120,AR
OMIM:136140,AD
OMIM:136300,AD
OMIM:136480,AD
OMIM:136500,AD
OMIM:136520,AD
OMIM:136550,AD
OMIM:136600,AD
OMIM:136630,AD
OMIM:136680,AD
OMIM:136760,AR
OMIM:136800,AD
OMIM:136880,AD;AR
OMIM:136900,AD
OMIM:137040,AD
OMIM:137050,AD
OMIM:137100,AD;AR
OMIM:137200,AR
OMIM:137215,AD
OMIM:137270,AD
OMIM:137280,AR
OMIM:137360,AD
OMIM:137440,AD
OMIM:137500,AD
OMIM:137560,AD
OMIM:137575,AD
OMIM:137580,AD
OMIM:137600,AD
OMIM:137750,AD
OMIM:137760,AD
OMIM:137800,AD
OMIM:137900,AD
OMIM:137920,AD
OMIM:137940,AD
OMIM:137950,AD
OMIM:138000,AD
OMIM:138070,AD
OMIM:138500,AD
OMIM:138790,AD
OMIM:138800,AD
OMIM:138930,AD
OMIM:139000,AD
OMIM:139090,AR
OMIM:139210,AD
OMIM:139300,AD
OMIM:139393,AD
OMIM:139600,AD
OMIM:139650,AD
OMIM:140000,AD
OMIM:140300,AD
OMIM:140350,AD
OMIM:140400,AD
OMIM:140450,AD
OMIM:140500,AD
OMIM:140600,AD
OMIM:140700,AD
OMIM:140850,AD
OMIM:140900,AD
OMIM:141000,AD
OMIM:141200,AD
OMIM:141350,AD
OMIM:141400,AD
OMIM:141405,AD
OMIM:141500,AD
OMIM:141749,AD
OMIM:142000,AD
OMIM:142309,AD
OMIM:142330,AD
OMIM:142350,AD
OMIM:142400,AD
OMIM:142623,AD
OMIM:142630,AD
OMIM:142669,AD
OMIM:142680,AD
OMIM:142690,AD
OMIM:142900,AD
OMIM:142945,AD
OMIM:142946,AD
OMIM:143000,AD
OMIM:143050,AD
OMIM:143095,AR
OMIM:143100,AD
OMIM:143200,AD
OMIM:143400,AD
OMIM:143465,AD
OMIM:143470,AD
OMIM:143500,AR
OMIM:143850,AD
OMIM:143860,AR
OMIM:143870,AD
OMIM:143880,AR
OMIM:143890,AD;AR
OMIM:144010,AD
OMIM:144050,AD
OMIM:144100,AD
OMIM:144110,AD
OMIM:144150,AD
OMIM:144200,AD
OMIM:144250,AD
OMIM:144300,AD
OMIM:144600,AD
OMIM:144650,AD
OMIM:144750,AD
OMIM:144755,AD
OMIM:144800,AD
OMIM:145000,AD
OMIM:145001,AD
OMIM:145100,AD
OMIM:145200,AD
OMIM:145250,AD
OMIM:145260,AD
OMIM:145290,AD
OMIM:145300,AD
OMIM:145350,AD
OMIM:145420,AD
OMIM:145590,AD
OMIM:145600,AD
OMIM:145650,AD
OMIM:145680,AD
OMIM:145700,AD
OMIM:145701,AD
OMIM:145750,AD
OMIM:145800,AD
OMIM:145900,AD;AR
OMIM:145980,AD
OMIM:145981,AD
OMIM:146000,AD
OMIM:146110,AR
OMIM:146160,AD
OMIM:146200,AD;AR
OMIM:146255,AD
OMIM:146300,AD;AR
OMIM:146350,AD
OMIM:146390,AD
OMIM:146450,AD
OMIM:146500,AD;AR
OMIM:146510,AD
OMIM:146520,AD
OMIM:146550,AD
OMIM:146590,AD
OMIM:146600,AD
OMIM:146700,AD;AR
OMIM:146720,AD
OMIM:146750,AD
OMIM:146800,AD
OMIM:146830,AD
OMIM:146850,AD
OMIM:147050,AD
OMIM:147060,AD
OMIM:147250,AD
OMIM:147251,AD
OMIM:147330,AD
OMIM:147350,AD
OMIM:147400,AD
OMIM:147421,AD
OMIM:147430,AD
OMIM:147480,AD
OMIM:147540,AD
OMIM:147610,AD
OMIM:147630,AD
OMIM:147710,AD
OMIM:147750,AD
OMIM:147770,AD
OMIM:147800,AD
OMIM:147820,AD
OMIM:147891,AD
OMIM:147892,AD
OMIM:147900,AD
OMIM:147920,AD
OMIM:147950,AD
OMIM:148000,AD
OMIM:148050,AD
OMIM:148100,AD
OMIM:148190,AD
OMIM:148200,AD
OMIM:148210,AD
OMIM:148300,AD
OMIM:148350,AD
OMIM:148370,AD
OMIM:148500,AD
OMIM:148520,AD
OMIM:148600,AD
OMIM:148700,AD
OMIM:148730,AD
OMIM:148800,AD
OMIM:148820,AD;AR
OMIM:148840,AD
OMIM:149100,AD
OMIM:149200,AD
OMIM:149300,AD
OMIM:149400,AD;AR
OMIM:149500,AD
OMIM:149600,AD
OMIM:149700,AR
OMIM:149730,AD
OMIM:150170,AD
OMIM:150230,AD
OMIM:150250,AD
OMIM:150260,AD
OMIM:150270,AD
OMIM:150280,AD
OMIM:150300,AD
OMIM:150400,AD;AR
OMIM:150550,AR
OMIM:150600,AD
OMIM:150700,AD
OMIM:150800,AD
OMIM:150900,AD
OMIM:151000,AD
OMIM:151001,AD
OMIM:151050,AD
OMIM:151100,AD
OMIM:151200,AD
OMIM:151210,AD
OMIM:151500,AD
OMIM:151600,AD;AR
OMIM:151610,AD
OMIM:151620,AD
OMIM:151623,AD
OMIM:151630,AD
OMIM:151640,AD
OMIM:151660,AD
OMIM:151700,AD
OMIM:151800,AD
OMIM:151900,AD
OMIM:152420,AD
OMIM:152550,AD
OMIM:152700,AD
OMIM:152800,AD
OMIM:152900,AD
OMIM:152950,AD
OMIM:153100,AD
OMIM:153200,AD
OMIM:153300,AD
OMIM:153400,AD
OMIM:153470,AD
OMIM:153630,AD
OMIM:153670,AD
OMIM:153700,AD
OMIM:153800,AD
OMIM:153840,AD
OMIM:153870,AD
OMIM:153880,AD
OMIM:153890,AD
OMIM:154020,AD
OMIM:154230,AD
OMIM:154275,AD
OMIM:154276,AD
OMIM:154300,AD
OMIM:154400,AD
OMIM:154500,AD
OMIM:154570,AD
OMIM:154600,AD
OMIM:154700,AD
OMIM:154780,AD
OMIM:154800,AD
OMIM:155000,AD
OMIM:155100,AD
OMIM:155140,AD
OMIM:155145,AD
OMIM:155200,AD
OMIM:155240,AD
OMIM:155255,AD;AR
OMIM:155310,AD
OMIM:155350,AD
OMIM:155600,AD
OMIM:155601,AD
OMIM:155700,AD
OMIM:155720,AD
OMIM:155755,AD
OMIM:155900,AD
OMIM:155980,AD
OMIM:156000,AD
OMIM:156190,AD
OMIM:156200,AD
OMIM:156220,AD
OMIM:156230,AD
OMIM:156232,AD
OMIM:156250,AD
OMIM:156310,AD
OMIM:156400,AD
OMIM:156500,AD
OMIM:156510,AD
OMIM:156520,AD
OMIM:156530,AD
OMIM:156550,AD
OMIM:156580,AD
OMIM:156600,AD
OMIM:156610,AD
OMIM:156700,AD
OMIM:156830,AD;AR
OMIM:156850,AD
OMIM:156900,AD
OMIM:157150,AD
OMIM:157170,AD
OMIM:157300,AD
OMIM:157400,AD
OMIM:157600,AD
OMIM:157640,AD
OMIM:157700,AD
OMIM:157800,AD
OMIM:157900,AD
OMIM:157950,AD
OMIM:157980,AD
OMIM:158000,AD
OMIM:158100,AD
OMIM:158170,AD
OMIM:158250,AD;AR
OMIM:158300,AD
OMIM:158310,AD
OMIM:158320,AD
OMIM:158330,AD
OMIM:158345,AD
OMIM:158350,AD
OMIM:158400,AD
OMIM:158500,AD
OMIM:158580,AD
OMIM:158590,AD
OMIM:158600,AD
OMIM:158650,AD
OMIM:158800,AD
OMIM:158810,AD;AR
OMIM:158900,AD
OMIM:159050,AD
OMIM:159500,AD
OMIM:159550,AD
OMIM:159600,AD
OMIM:159800,AD
OMIM:159900,AD
OMIM:159950,AR
OMIM:160010,AD
OMIM:160120,AD
OMIM:160150,AD
OMIM:160300,AD
OMIM:160500,AD
OMIM:160565,AD
OMIM:160570,AD
OMIM:160700,AD
OMIM:160750,AD
OMIM:160800,AD
OMIM:160900,AD
OMIM:160980,AD
OMIM:161000,AD
OMIM:161050,AR
OMIM:161200,AD
OMIM:161400,AD
OMIM:161470,AD
OMIM:161480,AD
OMIM:161500,AD
OMIM:161530,AD
OMIM:161700,AD
OMIM:161800,AD;AR
OMIM:161900,AD
OMIM:161950,AD
OMIM:162000,AD
OMIM:162091,AD
OMIM:162100,AD
OMIM:162200,AD
OMIM:162210,AD
OMIM:162260,AD
OMIM:162300,AD
OMIM:162350,AD
OMIM:162370,AD
OMIM:162400,AD
OMIM:162500,AD
OMIM:162700,AD
OMIM:162800,AD
OMIM:162830,AD
OMIM:163000,AD
OMIM:163100,AD
OMIM:163400,AD
OMIM:163500,AD
OMIM:163600,AD
OMIM:163700,AD
OMIM:163800,AD
OMIM:163850,AD
OMIM:163950,AD
OMIM:164100,AD
OMIM:164150,AD
OMIM:164185,AD
OMIM:164200,AD
OMIM:164210,AD
OMIM:164220,AD
OMIM:164230,AD
OMIM:164280,AD
OMIM:164300,AD
OMIM:164310,AD
OMIM:164400,AD
OMIM:164500,AD
OMIM:164745,AD
OMIM:164750,AD
OMIM:164800,AD
OMIM:164900,AD
OMIM:165000,AD
OMIM:165098,AD
OMIM:165150,AD
OMIM:165199,AD
OMIM:165300,AD
OMIM:165500,AD
OMIM:165510,AD
OMIM:165550,AD
OMIM:165590,AD
OMIM:165600,AD
OMIM:165660,AD
OMIM:165670,AD
OMIM:165680,AD
OMIM:165700,AD
OMIM:165800,AD
OMIM:166000,AD
OMIM:166200,AD
OMIM:166210,AD
OMIM:166220,AD
OMIM:166250,AD
OMIM:166260,AD
OMIM:166300,AD
OMIM:166350,AD
OMIM:166400,AD
OMIM:166450,AD
OMIM:166600,AD
OMIM:166700,AD
OMIM:166705,AD
OMIM:166710,AD
OMIM:166740,AD
OMIM:166750,AD
OMIM:166760,AD
OMIM:166780,AD
OMIM:166800,AD
OMIM:166900,AD
OMIM:166910,AD
OMIM:166950,AD
OMIM:166970,AD
OMIM:166990,AD
OMIM:167000,AD
OMIM:167030,AR
OMIM:167100,AD
OMIM:167200,AD
OMIM:167210,AD
OMIM:167220,AD
OMIM:167250,AD
OMIM:167320,AD
OMIM:167400,AD
OMIM:167600,AD
OMIM:167730,AD
OMIM:167750,AD
OMIM:167800,AD
OMIM:167870,AD
OMIM:167900,AD
OMIM:167950,AD
OMIM:168000,AD
OMIM:168200,AD
OMIM:168300,AD
OMIM:168400,AD
OMIM:168500,AD
OMIM:168550,AD
OMIM:168600,AD
OMIM:168601,AD
OMIM:168605,AD
OMIM:168800,AD
OMIM:168820,AD
OMIM:168860,AD
OMIM:168900,AD
OMIM:169000,AD
OMIM:169100,AD
OMIM:169150,AD
OMIM:169200,AD
OMIM:169400,AD
OMIM:169500,AD
OMIM:169545,AD
OMIM:169550,AD
OMIM:169600,AD
OMIM:169610,AD
OMIM:170100,AR
OMIM:170390,AD
OMIM:170400,AD
OMIM:170500,AD
OMIM:170600,AD
OMIM:170650,AR
OMIM:170700,AD
OMIM:170900,AD
OMIM:170980,AD
OMIM:171000,AD
OMIM:171300,AD
OMIM:171400,AD
OMIM:171420,AD
OMIM:171450,AD
OMIM:171480,AD
OMIM:172150,AD
OMIM:172700,AD
OMIM:172800,AD
OMIM:172850,AD
OMIM:172870,XLD;XLR;AD
OMIM:172880,AD
OMIM:172900,AD
OMIM:173000,AD
OMIM:173100,AD
OMIM:173200,AD
OMIM:173400,AD
OMIM:173420,AD
OMIM:173450,AD
OMIM:173580,AD
OMIM:173590,AD
OMIM:173600,AD
OMIM:173650,AR
OMIM:173700,AD
OMIM:173800,AD
OMIM:173900,AD
OMIM:174000,AD
OMIM:174050,AD
OMIM:174200,AD
OMIM:174300,AR
OMIM:174310,AD
OMIM:174400,AR
OMIM:174500,AD
OMIM:174600,AD
OMIM:174700,AD
OMIM:174770,AD
OMIM:174810,AD
OMIM:174900,AD
OMIM:175050,AD
OMIM:175100,AD
OMIM:175200,AD
OMIM:175400,AD
OMIM:175450,AD
OMIM:175505,AD
OMIM:175510,AD
OMIM:175700,AD
OMIM:175750,AD
OMIM:175780,AD
OMIM:175800,AD
OMIM:175850,AD
OMIM:175860,AD
OMIM:175900,AD
OMIM:176000,AD
OMIM:176090,AD
OMIM:176100,AD;AR
OMIM:176200,AD
OMIM:176240,AD
OMIM:176250,AD
OMIM:176270,AD
OMIM:176305,AD
OMIM:176400,AD
OMIM:176430,AD
OMIM:176450,AD
OMIM:176500,AD
OMIM:176600,AD
OMIM:176620,AD
OMIM:176630,AD
OMIM:176670,AD;AR
OMIM:176690,AD;AR
OMIM:176700,AD
OMIM:176780,AD
OMIM:176800,AD
OMIM:176807,AD
OMIM:176860,AD
OMIM:177000,AR
OMIM:177050,AD
OMIM:177100,XLD;AD
OMIM:177170,AD
OMIM:177200,AD
OMIM:177350,AD
OMIM:177650,AD
OMIM:177700,AD
OMIM:177735,AD
OMIM:177820,AD
OMIM:177850,AD
OMIM:177980,AD
OMIM:177990,AD
OMIM:178000,AD
OMIM:178110,AD
OMIM:178200,AD
OMIM:178300,AD
OMIM:178330,AD
OMIM:178350,AD
OMIM:178370,AD
OMIM:178400,AD
OMIM:178500,AD
OMIM:178550,AD
OMIM:178600,AD
OMIM:178650,AD
OMIM:178651,AD
OMIM:178900,AD
OMIM:178995,AD
OMIM:179000,AD
OMIM:179010,AD
OMIM:179200,AD;AR
OMIM:179250,AD
OMIM:179270,AD
OMIM:179280,AD
OMIM:179300,AD
OMIM:179500,AD
OMIM:179600,AD
OMIM:179613,AD
OMIM:179650,AD
OMIM:179700,AD
OMIM:179800,AD
OMIM:179830,AD
OMIM:179840,AD
OMIM:179850,AD
OMIM:180000,AD
OMIM:180020,AD
OMIM:180100,AD;AR
OMIM:180104,AD
OMIM:180105,AD
OMIM:180200,AD
OMIM:180210,AD
OMIM:180350,AD
OMIM:180360,AD
OMIM:180500,AD
OMIM:180550,AD
OMIM:180600,AD
OMIM:180700,AD
OMIM:180730,AD
OMIM:180750,AD
OMIM:180800,AD
OMIM:180849,AD
OMIM:180860,AD
OMIM:180870,AD
OMIM:180900,AD
OMIM:180920,AD
OMIM:181000,AD
OMIM:181030,AD
OMIM:181180,AD
OMIM:181250,AD
OMIM:181270,AD
OMIM:181350,AD
OMIM:181400,AD
OMIM:181405,AD
OMIM:181430,AD
OMIM:181440,AD
OMIM:181450,AD
OMIM:181500,AD
OMIM:181510,AD
OMIM:181600,AD
OMIM:181750,AD
OMIM:181800,AD
OMIM:182150,AD
OMIM:182170,AD
OMIM:182190,AD
OMIM:182200,AD
OMIM:182210,AD
OMIM:182212,AD
OMIM:182230,AD;AR
OMIM:182250,AD
OMIM:182255,AD
OMIM:182260,AD
OMIM:182280,AD
OMIM:182290,AD
OMIM:182410,AR
OMIM:182600,AD
OMIM:182601,AD
OMIM:182690,AD
OMIM:182800,AD
OMIM:182815,AD
OMIM:182830,AD
OMIM:182875,AD
OMIM:182900,AD;AR
OMIM:182920,AD
OMIM:182940,AD
OMIM:182950,AD
OMIM:182960,AD
OMIM:182970,AD
OMIM:182980,AD
OMIM:182990,AD
OMIM:183020,AD
OMIM:183050,AD
OMIM:183086,AD
OMIM:183090,AD
OMIM:183100,AD
OMIM:183300,AD
OMIM:183350,AD
OMIM:183400,AD
OMIM:183500,AD
OMIM:183600,AD
OMIM:183700,AD
OMIM:183800,AD
OMIM:183840,AD
OMIM:183849,AD
OMIM:183850,AD
OMIM:183900,AD
OMIM:184095,AD
OMIM:184100,AD
OMIM:184200,AD
OMIM:184250,AD
OMIM:184252,AD
OMIM:184253,AD
OMIM:184255,AD
OMIM:184260,AR
